Vivado Simulator 2018.3
Time resolution is 1 ps
IDLE: Number = 35, index =          5, is_number = 1, counter =           1
CHECKER: Number = 30, index =          6, is_number = 1, counter =           2
CHECKER: Number = 36, index =          7, is_number = 1, counter =           3
CHECKER: Special char = 20, index =          8, is_number = 0, counter =           4
CHECKER: Number = 30, index =          9, is_number = 1, counter =           4
CHECKER: Number = 33, index =         10, is_number = 1, counter =           5
CHECKER: Number = 36, index =         11, is_number = 1, counter =           6
CHECKER: Special char = 20, index =         12, is_number = 0, counter =           7
CHECKER: Number = 31, index =         13, is_number = 1, counter =           7
CHECKER: Number = 31, index =         13, is_number = 1, counter =           8
CHECKER: Number = 32, index =         14, is_number = 1, counter =           9
IDLE: Number = 32, index =         18, is_number = 1, counter =           1
CHECKER: Number = 39, index =         19, is_number = 1, counter =           2
IDLE: Number = 32, index =         21, is_number = 1, counter =           1
CHECKER: Number = 39, index =         22, is_number = 1, counter =           2
CHECKER: Number = 37, index =         23, is_number = 1, counter =           3
CHECKER: Number = 31, index =         24, is_number = 1, counter =           4
CHECKER: Number = 39, index =         25, is_number = 1, counter =           5
CHECKER: Number = 34, index =         26, is_number = 1, counter =           6
IDLE: Number = 34, index =         29, is_number = 1, counter =           1
CHECKER: Number = 38, index =         30, is_number = 1, counter =           2
CHECKER: Number = 35, index =         31, is_number = 1, counter =           3
CHECKER: Number = 30, index =         32, is_number = 1, counter =           4
CHECKER: Number = 34, index =         33, is_number = 1, counter =           5
CHECKER: Number = 37, index =         34, is_number = 1, counter =           6
CHECKER: Number = 31, index =         35, is_number = 1, counter =           7
CHECKER: Number = 32, index =         36, is_number = 1, counter =           8
CHECKER: Number = 33, index =         37, is_number = 1, counter =           9
CHECKER: Number = 34, index =         38, is_number = 1, counter =          10
CHECKER: Number = 38, index =         39, is_number = 1, counter =          11
IDLE: Number = 38, index =         47, is_number = 1, counter =           1
CHECKER: Number = 37, index =         48, is_number = 1, counter =           2
CHECKER: Special char = 20, index =         49, is_number = 0, counter =           3
CHECKER: Number = 31, index =         50, is_number = 1, counter =           3
CHECKER: Number = 30, index =         51, is_number = 1, counter =           4
CHECKER: Number = 31, index =         52, is_number = 1, counter =           5
CHECKER: Number = 30, index =         53, is_number = 1, counter =           6
CHECKER: Special char = 20, index =         54, is_number = 0, counter =           7
CHECKER: Number = 31, index =         55, is_number = 1, counter =           7
CHECKER: Number = 33, index =         56, is_number = 1, counter =           8
CHECKER: Number = 39, index =         57, is_number = 1, counter =           9
CHECKER: Number = 37, index =         58, is_number = 1, counter =          10
CHECKER: Special char = 20, index =         59, is_number = 0, counter =          11
CHECKER: Number = 30, index =         60, is_number = 1, counter =          11
CHECKER: Number = 30, index =         60, is_number = 1, counter =          12
CHECKER: Number = 35, index =         61, is_number = 1, counter =          13
CHECKER: Number = 35, index =         61, is_number = 1, counter =          14
CHECKER: Number = 30, index =         62, is_number = 1, counter =          15
CHECKER: Number = 30, index =         62, is_number = 1, counter =          16
CHECKER: Number = 32, index =         63, is_number = 1, counter =          17
CHECKER: Number = 32, index =         63, is_number = 1, counter =          18
CHECKER: Special char = 20, index =         64, is_number = 0, counter =          19
CHECKER: Number = 32, index =         65, is_number = 1, counter =          19
CHECKER: Number = 31, index =         66, is_number = 1, counter =          20
CHECKER: Number = 30, index =         67, is_number = 1, counter =          21
CHECKER: Number = 30, index =         67, is_number = 1, counter =          22
CHECKER: Special char = 20, index =         68, is_number = 0, counter =          23
CHECKER: Number = 30, index =         69, is_number = 1, counter =          23
CHECKER: Number = 30, index =         69, is_number = 1, counter =          24
CHECKER: Number = 30, index =         69, is_number = 1, counter =          25
CHECKER: Number = 30, index =         69, is_number = 1, counter =          26
IDLE: Number = 34, index =         75, is_number = 1, counter =           1
CHECKER: Number = 35, index =         76, is_number = 1, counter =           2
IDLE: Number = 34, index =         79, is_number = 1, counter =           1
CHECKER: Number = 35, index =         80, is_number = 1, counter =           2
CHECKER: Number = 38, index =         81, is_number = 1, counter =           3
CHECKER: Number = 32, index =         82, is_number = 1, counter =           4
CHECKER: Number = 36, index =         83, is_number = 1, counter =           5
CHECKER: Number = 38, index =         84, is_number = 1, counter =           6
CHECKER: Number = 39, index =         85, is_number = 1, counter =           7
CHECKER: Number = 36, index =         86, is_number = 1, counter =           8
CHECKER: Number = 34, index =         87, is_number = 1, counter =           9
CHECKER: Number = 34, index =         87, is_number = 1, counter =          10
CHECKER: Number = 31, index =         88, is_number = 1, counter =          11
